episode;mean_e;var_e;std_e;rms_e
379;-8055,797795;729664325,580850;27012,299524;28187,944297
380;-12465,140939;1079944269,592382;32862,505528;35147,176390
381;-13710,423736;898677420,486253;29977,948904;32964,422329
382;-4825,008471;903828363,055295;30063,738341;30448,465804
383;-7826,735767;1250650799,226517;35364,541553;36220,278740
384;338,869594;1341048684,689577;36620,331575;36621,899422
385;-12415,899702;827103292,370883;28759,403547;31325,035639
386;-14010,767417;876542806,449963;29606,465619;32754,303688
387;-13458,399154;738982987,980187;27184,241538;30333,339674
388;-15898,276551;962568958,676728;31025,295465;34861,499623
389;-14563,786687;764851415,827355;27655,947205;31256,284144
390;-23667,638756;1036086911,260139;32188,303951;39953,022859
391;-5107,040406;539046127,023940;23217,366927;23772,420759
392;-12987,868932;761213544,459498;27590,098667;30494,233617
393;864,241129;847434468,311874;29110,727719;29123,553716
394;-4821,230492;560073272,371304;23665,867243;24151,967535
395;-13963,373169;1036202218,545137;32190,095038;35088,146272
396;-4662,962694;1165688692,182876;34142,183471;34459,133960
397;-6119,506186;921991841,094273;30364,318551;30974,831671
398;-13446,721566;855541118,041253;29249,634494;32192,474880
399;-4151,441831;546543096,702335;23378,261199;23744,000631
400;-19788,170639;1193281795,162027;34543,911116;39810,218442
401;-4333,455378;1066197585,561435;32652,681139;32938,980268
402;-4455,088571;1059200328,020194;32545,358010;32848,868203
403;-14555,623269;967031502,790719;31097,130138;34335,079315
404;-3421,307755;936945819,883740;30609,570724;30800,181276
405;-9531,250543;761691193,634008;27598,753480;29198,217935
406;-15932,089274;970945535,554312;31159,998966;34996,814201
407;-13496,195129;1169006966,495290;34190,743872;36758,050131
408;-17572,905645;1121432216,287964;33487,792049;37818,503793
409;-19724,353630;1138474334,906299;33741,285318;39083,557426
410;-520,306551;1202538777,773832;34677,640891;34681,544035
411;-21481,928349;1177829581,938538;34319,521878;40488,304824
412;-11451,940238;539616298,852671;23229,642676;25899,097167
413;-6768,261410;1121164931,362096;33483,801029;34161,005458
414;-19867,402250;1214250080,489254;34846,091323;40111,890415
415;-6866,365717;592358677,534932;24338,419783;25288,449057
416;-13639,698042;835246002,621750;28900,622876;31957,586975
417;-11833,622367;1023903590,838123;31998,493571;34116,538646
418;-11502,316589;1135919265,668369;33703,401396;35612,112442
419;-14957,623949;953058108,760416;30871,639230;34304,352828
420;-15888,291059;1030749385,785818;32105,285948;35821,602122
421;-22291,211126;1311609958,633981;36216,156044;42526,557022
422;-10651,771785;584241151,665556;24171,080896;26414,037818
423;-16412,146443;969997823,201514;31144,788058;35204,493663
424;-6982,313579;491054030,316463;22159,738950;23233,741266
425;-17092,432927;841180790,803909;29003,116915;33664,997463
426;-11639,488950;695758820,551682;26377,240579;28831,172775
427;-146,724182;606991012,489618;24637,187593;24637,624489
428;-6684,571775;1227642378,519923;35037,727930;35669,677295
429;-5685,779157;975001494,282033;31225,013920;31738,455837
430;-10316,305474;1215722687,144376;34867,215076;36361,364740
431;-17080,342033;1154960926,585576;33984,716073;38035,496718
432;-12295,232043;850892232,551124;29170,057123;31655,409704
433;-1585,448605;858593071,793865;29301,758852;29344,619934
434;-2633,790704;1139254209,871268;33752,840027;33855,443629
435;-17461,725464;1422679005,874122;37718,417330;41564,297926
436;-5756,070873;1022543425,170354;31977,232919;32491,164600
437;-13424,585371;810736435,002038;28473,433846;31479,452463
438;-12847,706976;1349865015,767181;36740,509193;38922,083581
439;-11758,091856;681456770,049755;26104,726968;28630,569225
440;-14937,149357;932783153,369825;30541,498872;33998,552679
441;-10803,950733;602917704,528101;24554,382593;26826,163646
442;-7975,337723;791742370,648398;28137,916956;29246,339642
443;-15416,286042;891860176,043011;29864,028128;33608,362819
444;-5979,718145;778471937,389132;27901,109967;28534,697589
445;-8180,563493;1122239957,838064;33499,850117;34484,222144
446;-4417,660150;1046400200,730331;32348,109693;32648,367829
447;-7770,199983;824446481,845570;28713,176102;29745,965939
448;-20235,962995;1209913786,473933;34783,815007;40241,868555
449;-5137,714890;735821122,224633;27126,022971;27608,282028
450;-13961,729090;795851384,961964;28210,838076;31476,678099
451;-4972,530920;891074548,376902;29850,871819;30262,197741
452;-8863,776941;764135900,430407;27643,008165;29029,337610
453;-20469,782498;1341858183,622829;36631,382497;41962,723686
454;-10824,191539;688071741,830234;26231,121627;28376,660556
455;-7250,821509;715371562,654508;26746,430840;27711,838178
456;-3429,241556;1031493248,890466;32116,868603;32299,426412
457;-4781,175810;780926206,421408;27945,056923;28351,117236
458;-2378,673622;652093671,861032;25536,124840;25646,671520
459;-3260,638306;1191750055,610191;34521,733091;34675,377688
460;-13312,485992;888727464,685100;29811,532411;32648,885861
461;-15901,316729;817139282,106357;28585,648184;32710,719280
462;-489,331430;830375895,559878;28816,243606;28820,397999
463;-3467,618662;788031990,734894;28071,907501;28285,267719
464;-15012,247984;822345029,803742;28676,558891;32368,389199
465;1333,134374;972467014,266837;31184,403382;31212,886145
466;-5143,129265;1202330917,301952;34674,643723;35053,996861
467;-13277,527856;1385363676,118175;37220,473884;39517,798801
468;-8310,659635;977467712,204716;31264,480041;32350,189733
469;-8619,717024;1595896597,381512;39948,674538;40868,032972
470;-4976,764466;713041835,835904;26702,843216;27162,658566
471;-2385,770725;1180536924,367665;34358,942422;34441,672815
472;-6633,945343;813326664,998918;28518,882604;29280,298766
473;-16664,323340;1109837298,337421;33314,220662;37249,657323
474;-18512,088553;1153239300,339521;33959,377208;38677,341208
475;-10940,071880;1313592782,260845;36243,520556;37858,657596
476;-2927,308341;678975623,834008;26057,160702;26221,074691
477;-10773,010785;806820105,329385;28404,578950;30378,904962
478;-5270,620497;682569842,238552;26126,037630;26652,378555
479;49,041184;766709676,412032;27689,522864;27689,566292
480;-16832,409751;934920576,640885;30576,470964;34903,446745
481;-3456,918005;724577763,194069;26917,982153;27139,050191
482;-9132,050941;1160238416,692191;34062,272630;35265,177882
483;599,096250;699726444,809104;26452,342898;26459,126235
484;-8343,756545;906931442,704633;30115,302467;31249,795455
485;-12928,593905;814922447,191384;28546,846537;31338,011863
486;-12410,536859;782882651,507011;27980,040234;30608,888850
487;-15658,050312;865961007,949745;29427,215430;33333,699878
488;-20432,300617;1402037477,177318;37443,790903;42655,789592
489;-3185,216843;1126523955,286964;33563,729758;33714,530423
